Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 4.00% of 0.25 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]    100.0    0.00    0.25                 main [1]
                0.00    0.25      32/32          test_resolve [2]
                0.00    0.00       1/1           test_parse [54]
                0.00    0.00       1/1           test_lex [76]
                0.00    0.00       1/1           test_select_case [87]
                0.00    0.00       1/1           test_builtin_funcs [89]
                0.00    0.00       1/1           test_code [90]
                0.00    0.00       1/1           test_expr [192]
                0.00    0.00       1/1           intern_free [185]
-----------------------------------------------
                0.00    0.25      32/32          main [1]
[2]     99.9    0.00    0.25      32         test_resolve [2]
                0.00    0.21  163872/163875      interpret [4]
                0.00    0.01   32768/98307       add_builtin_double [14]
                0.00    0.01   32768/65568       add_builtin_int [15]
                0.00    0.01   32768/65536       add_builtin_boolean [16]
-----------------------------------------------
[3]     94.0    0.10    0.14  623404+23660300 <cycle 3 as a whole> [3]
                0.03    0.06 4981104+8           resolve_expected_expr <cycle 3> [7]
                0.00    0.02  327760             resolve_binary_arithmetic_op <cycle 3> [19]
                0.01    0.01 1212483             resolve_stmt_assign <cycle 3> [21]
                0.00    0.02  688136             resolve_stmt_dim <cycle 3> [23]
                0.01    0.00 3768578             resolve_expr <cycle 3> [25]
                0.01    0.00 2031697             resolve_stmt <cycle 3> [27]
                0.01    0.00 1049396             str_intern_range <cycle 3> [29]
                0.01    0.00 1015899             resolve_expr_binary_op <cycle 3> [30]
                0.01    0.00  393229             resolve_expr_string <cycle 3> [35]
                0.01    0.00  262173             resolve_stmt_block <cycle 3> [36]
                0.00    0.01  163840             concat_operands <cycle 3> [38]
                0.00    0.01 1015880             resolve_expr_binary <cycle 3> [43]
                0.00    0.00  262144             resolve_expr_unary <cycle 3> [45]
                0.00    0.00 3375326             cast_operand <cycle 3> [47]
                0.00    0.00  622600             sym_push_dim <cycle 3> [94]
                0.00    0.00      20             resolve_expr_call <cycle 3> [95]
                0.00    0.00      19             resolve_select_case_pattern <cycle 3> [96]
                0.00    0.00   65536             sym_push_project <cycle 3> [97]
                0.00    0.00 1802374             convert_operand <cycle 3> [102]
                0.00    0.00  327760             unify_operands <cycle 3> [109]
                0.00    0.00  294923             resolve_binary_string_op <cycle 3> [111]
                0.00    0.00  262144             resolve_cond_expr <cycle 3> [114]
                0.00    0.00  163961             resolve_stmts <cycle 3> [115]
                0.00    0.00  131072             resolve_stmt_if <cycle 3> [118]
                0.00    0.00   65536             promote_operand <cycle 3> [119]
                0.00    0.00      63             new_sym <cycle 3> [147]
                0.00    0.00      23             resolve_select_case <cycle 3> [164]
                0.00    0.00      20             resolve_expr_call_default <cycle 3> [165]
                0.00    0.00       6             resolve_stmt_select_case <cycle 3> [178]
                0.00    0.00       2             new_sym_project <cycle 3> [183]
-----------------------------------------------
                0.00    0.00       1/163875      test_code [90]
                0.00    0.00       1/163875      test_select_case [87]
                0.00    0.00       1/163875      test_builtin_funcs [89]
                0.00    0.21  163872/163875      test_resolve [2]
[4]     85.1    0.00    0.21  163875         interpret [4]
                0.01    0.20  163866/163875      parse_interpreter [5]
                0.00    0.00       9/9           initial_parse [60]
                0.00    0.00       9/623404      str_intern_range <cycle 3> [29]
                0.00    0.00  163875/163875      map_get [116]
                0.00    0.00  163866/163866      update_interpreter [117]
                0.00    0.00  163866/426054      sym_get_builtin [107]
                0.00    0.00       9/884917      str_intern [103]
-----------------------------------------------
                0.00    0.00       9/163875      initial_parse [60]
                0.01    0.20  163866/163875      interpret [4]
[5]     85.1    0.01    0.20  163875         parse_interpreter [5]
                0.00    0.07  163875/163875      add_builtin_result [8]
                0.00    0.07  163875/163914      init_stream [10]
                0.03    0.04  163875/623404      resolve_stmts <cycle 3> [115]
                0.00    0.00       9/9           parse_stmts [51]
                0.00    0.00  163875/163877      init_keywords [75]
-----------------------------------------------
                0.00    0.01   32768/262179      add_builtin_string [17]
                0.00    0.02   65536/262179      add_builtin_boolean [16]
                0.00    0.02   65568/262179      add_builtin_int [15]
                0.00    0.04   98307/262179      add_builtin_double [14]
[6]     39.5    0.00    0.10  262179         add_builtin_var [6]
                0.04    0.06  262179/623404      str_intern_range <cycle 3> [29]
                0.00    0.00  262179/884917      str_intern [103]
                0.00    0.00  262179/426054      sym_get_builtin [107]
                0.00    0.00       4/4           new_sym_builtin [179]
                0.00    0.00       1/264         buf__grow [135]
-----------------------------------------------
                                   8             resolve_expected_expr <cycle 3> [7]
                                  43             resolve_expr_call_default <cycle 3> [165]
                             1212483             resolve_stmt_assign <cycle 3> [21]
                             3768578             resolve_expr <cycle 3> [25]
[7]     36.1    0.03    0.06 4981104+8       resolve_expected_expr <cycle 3> [7]
                0.00    0.04 1835152/1835152     resolve_expr_name [11]
                0.01    0.00  557056/557056      resolve_expr_boolean [33]
                0.01    0.00  524333/524333      resolve_expr_float [34]
                0.00    0.00  393290/393290      resolve_expr_int [108]
                             1015880             resolve_expr_binary <cycle 3> [43]
                              393229             resolve_expr_string <cycle 3> [35]
                              262144             resolve_expr_unary <cycle 3> [45]
                                  20             resolve_expr_call <cycle 3> [95]
                                   8             resolve_expected_expr <cycle 3> [7]
-----------------------------------------------
                0.00    0.07  163875/163875      parse_interpreter [5]
[8]     29.7    0.00    0.07  163875         add_builtin_result [8]
                0.00    0.02   65539/98307       add_builtin_double [14]
                0.00    0.02   32768/32768       add_builtin_string [17]
                0.00    0.01   32800/65568       add_builtin_int [15]
                0.00    0.01   32768/65536       add_builtin_boolean [16]
-----------------------------------------------
                0.00    0.00       3/165242      parse_stmt_for <cycle 2> [61]
                0.00    0.00       6/165242      parse_stmt_select_case <cycle 2> [57]
                0.00    0.00       8/165242      parse_select_case_pattern [59]
                0.00    0.00      13/165242      parse_expr_unary <cycle 1> [85]
                0.00    0.00      19/165242      parse_expr_cmp <cycle 1> [77]
                0.00    0.00      33/165242      parse_type_base [74]
                0.00    0.00      58/165242      expect_token [68]
                0.00    0.00      68/165242      parse_expr_add <cycle 1> [65]
                0.00    0.00      69/165242      parse_expr_mul <cycle 1> [64]
                0.00    0.00      79/165242      match_token [62]
                0.00    0.00     116/165242      expect_keyword [58]
                0.00    0.00     121/165242      parse_simple_stmt [52]
                0.00    0.00     164/165242      match_keyword [56]
                0.00    0.00     571/165242      parse_expr_operand <cycle 1> [53]
                0.00    0.07  163914/165242      init_stream [10]
[9]     26.8    0.00    0.07  165242         next_token [9]
                0.03    0.04  164479/623404      str_intern_range <cycle 3> [29]
                0.01    0.00  164479/164482      is_keyword_name [42]
                0.00    0.00     194/194         scan_int [137]
                0.00    0.00      57/57          scan_float [149]
                0.00    0.00      39/39          scan_str [155]
-----------------------------------------------
                0.00    0.00       1/163914      test_select_case [87]
                0.00    0.00       5/163914      test_lex [76]
                0.00    0.00      33/163914      test_parse [54]
                0.00    0.07  163875/163914      parse_interpreter [5]
[10]    26.6    0.00    0.07  163914         init_stream [10]
                0.00    0.07  163914/165242      next_token [9]
-----------------------------------------------
                0.00    0.04 1835152/1835152     resolve_expected_expr <cycle 3> [7]
[11]    16.1    0.00    0.04 1835152         resolve_expr_name [11]
                0.01    0.03 1835152/1835152     resolve_name_operand [12]
-----------------------------------------------
                0.01    0.03 1835152/1835152     resolve_expr_name [11]
[12]    16.1    0.01    0.03 1835152         resolve_name_operand [12]
                0.00    0.02 1835152/3604725     sym_get [13]
                0.01    0.00 1835152/1835152     operand_lvalue [28]
-----------------------------------------------
                0.00    0.00       2/3604725     sym_push_project <cycle 3> [97]
                0.00    0.00      27/3604725     sym_push_dim <cycle 3> [94]
                0.00    0.01  688156/3604725     resolve_name [39]
                0.00    0.01 1081388/3604725     resolve_stmt_assign <cycle 3> [21]
                0.00    0.02 1835152/3604725     resolve_name_operand [12]
[13]    16.0    0.00    0.04 3604725         sym_get [13]
                0.02    0.00 1114282/1114282     sym_get_builtin [22]
                0.01    0.00 3604725/3604725     sym_get_local [26]
                0.01    0.00  688205/688241      sym_get_type [31]
                0.00    0.00      69/87          sym_get_func [145]
-----------------------------------------------
                0.00    0.01   32768/98307       test_resolve [2]
                0.00    0.02   65539/98307       add_builtin_result [8]
[14]    14.8    0.00    0.04   98307         add_builtin_double [14]
                0.00    0.04   98307/262179      add_builtin_var [6]
-----------------------------------------------
                0.00    0.01   32768/65568       test_resolve [2]
                0.00    0.01   32800/65568       add_builtin_result [8]
[15]     9.9    0.00    0.02   65568         add_builtin_int [15]
                0.00    0.02   65568/262179      add_builtin_var [6]
-----------------------------------------------
